rot 	 wordsim 	 freq_bias 	 log_bias 	 isotropy 	 len_centroid* 	 mean_scalar_proj
0.000000	0.625707	0.208931	0.070119	0.721346	0.700000	0.294746
1.000000	0.627790	0.207327	0.071535	0.776713	0.747000	0.245181
2.000000	0.625347	0.208830	0.068974	0.725991	0.681000	0.316002
3.000000	0.625183	0.208800	0.069069	0.726489	0.682000	0.315234
4.000000	0.629151	0.205626	0.071224	0.763040	0.776000	0.215977
5.000000	0.632375	0.203056	0.072217	0.863074	0.856000	0.135829
6.000000	0.624522	0.208883	0.068896	0.697174	0.664000	0.335063
7.000000	0.625707	0.208931	0.070119	0.721225	0.700000	0.294943
8.000000	0.633626	0.200963	0.072411	0.917919	0.900000	0.093636
9.000000	0.628740	0.206503	0.071774	0.760563	0.766000	0.225486
10.000000	0.625451	0.208926	0.069762	0.713404	0.688000	0.307810
11.000000	0.626793	0.208437	0.070599	0.756544	0.723000	0.270812
12.000000	0.627398	0.207429	0.071126	0.752820	0.741000	0.251514
13.000000	0.632380	0.203007	0.072021	0.860712	0.855000	0.136792
14.000000	0.632992	0.202610	0.072701	0.901060	0.876000	0.116494
15.000000	0.633864	0.200233	0.072380	0.934996	0.922000	0.072750
16.000000	0.625406	0.208914	0.069588	0.712089	0.686000	0.309987
17.000000	0.631435	0.203422	0.071623	0.833830	0.839000	0.152632
18.000000	0.631238	0.203616	0.071090	0.816120	0.829000	0.162561
19.000000	0.636184	0.195811	0.071444	0.978667	0.997000	0.001920
20.000000	0.625887	0.208794	0.070022	0.743701	0.705000	0.289987
21.000000	0.624575	0.208869	0.068951	0.698461	0.666000	0.332867
22.000000	0.626814	0.208368	0.070459	0.756012	0.721000	0.272214
23.000000	0.633237	0.201031	0.072288	0.897121	0.892000	0.101629
24.000000	0.624667	0.208865	0.068978	0.699511	0.667000	0.331082
