alpha 	 wordsim 	 log_bias 	 isotropy 	 len_centroid* 	 lf_sp_cor 	 lb_l 	 lb_m 	 lb_h
-2.000000	0.723386	0.068319	0.471812	0.249000	0.051163	nan	nan	0.068319
-1.900000	0.723353	0.068428	0.473650	0.260000	0.051163	nan	nan	0.068428
-1.800000	0.723443	0.068717	0.479199	0.272000	0.051163	nan	nan	0.068717
-1.700000	0.724053	0.068687	0.485147	0.285000	0.051163	nan	nan	0.068687
-1.600000	0.724491	0.069027	0.491529	0.298000	0.051163	nan	nan	0.069027
-1.500000	0.724882	0.068879	0.497441	0.312000	0.051163	nan	nan	0.068879
-1.400000	0.725091	0.069102	0.504699	0.327000	0.051163	nan	nan	0.069102
-1.300000	0.725470	0.069322	0.513664	0.343000	0.051163	nan	nan	0.069322
-1.200000	0.726113	0.069484	0.520877	0.359000	0.051163	nan	nan	0.069484
-1.100000	0.726477	0.069506	0.536245	0.377000	0.051163	nan	nan	0.069506
-1.000000	0.727309	0.069868	0.546322	0.396000	0.051163	nan	nan	0.069868
-0.900000	0.727685	0.069784	0.557188	0.415000	0.051163	nan	nan	0.069784
-0.800000	0.728226	0.069790	0.568868	0.436000	0.051163	nan	nan	0.069790
-0.700000	0.728434	0.070097	0.573360	0.458000	0.051163	nan	nan	0.070097
-0.600000	0.729343	0.070448	0.587615	0.481000	0.051163	nan	nan	0.070448
-0.500000	0.730223	0.071041	0.601693	0.506000	0.051163	nan	nan	0.071041
-0.400000	0.730855	0.070460	0.625343	0.531000	0.051163	nan	nan	0.070460
-0.300000	0.731599	0.071328	0.631604	0.558000	0.051163	nan	nan	0.071328
-0.200000	0.732522	0.071480	0.648944	0.586000	0.051163	nan	nan	0.071480
-0.100000	0.733344	0.071732	0.679711	0.615000	0.051163	nan	nan	0.071732
0.000000	0.734317	0.072343	0.699916	0.645000	0.051163	nan	nan	0.072343
0.100000	0.735181	0.073006	0.721312	0.677000	0.051163	nan	nan	0.073006
0.200000	0.736464	0.073684	0.732745	0.709000	0.051163	nan	nan	0.073684
0.300000	0.737436	0.073661	0.753128	0.743000	0.051163	nan	nan	0.073661
0.400000	0.738279	0.074120	0.779529	0.778000	0.051163	nan	nan	0.074120
0.500000	0.739051	0.075514	0.822303	0.813000	0.051163	nan	nan	0.075514
0.600000	0.739774	0.076993	0.832874	0.849000	0.051163	nan	nan	0.076993
0.700000	0.740475	0.078172	0.914888	0.886000	0.051163	nan	nan	0.078172
0.800000	0.740718	0.078472	0.947699	0.924000	0.051163	nan	nan	0.078472
0.900000	0.740971	0.079440	0.976629	0.961000	0.051163	nan	nan	0.079440
1.000000	0.741629	0.080827	0.981098	0.998000	0.051163	nan	nan	0.080827
1.100000	0.742235	0.080826	0.977142	0.963000	0.051163	nan	nan	0.080826
1.200000	0.743087	0.080946	0.948418	0.925000	0.051163	nan	nan	0.080946
1.300000	0.743409	0.081544	0.895655	0.888000	0.051163	nan	nan	0.081544
1.400000	0.743793	0.082428	0.841351	0.851000	0.051163	nan	nan	0.082428
1.500000	0.744188	0.082851	0.825526	0.814000	0.051163	nan	nan	0.082851
1.600000	0.744304	0.083443	0.783462	0.779000	0.051163	nan	nan	0.083443
1.700000	0.744366	0.084333	0.757204	0.744000	0.051163	nan	nan	0.084333
1.800000	0.744287	0.084217	0.732084	0.710000	0.051163	nan	nan	0.084217
1.900000	0.744453	0.084787	0.709679	0.678000	0.051163	nan	nan	0.084787
2.000000	0.744274	0.084841	0.691955	0.646000	0.051163	nan	nan	0.084841
2.100000	0.744299	0.085021	0.680627	0.616000	0.051163	nan	nan	0.085021
2.200000	0.744320	0.085170	0.661020	0.586000	0.051163	nan	nan	0.085170
2.300000	0.744171	0.085603	0.642764	0.558000	0.051163	nan	nan	0.085603
2.400000	0.744267	0.085609	0.615961	0.531000	0.051163	nan	nan	0.085609
2.500000	0.744085	0.085442	0.600809	0.506000	0.051163	nan	nan	0.085442
2.600000	0.744160	0.085533	0.595344	0.481000	0.051163	nan	nan	0.085533
2.700000	0.744203	0.085494	0.581726	0.458000	0.051163	nan	nan	0.085494
2.800000	0.744243	0.085543	0.562827	0.436000	0.051163	nan	nan	0.085543
2.900000	0.744234	0.085526	0.551358	0.415000	0.051163	nan	nan	0.085526
3.000000	0.744223	0.085500	0.540722	0.396000	0.051163	nan	nan	0.085500
3.100000	0.744165	0.085528	0.530857	0.377000	0.051163	nan	nan	0.085528
3.200000	0.744129	0.085334	0.526923	0.359000	0.051163	nan	nan	0.085334
3.300000	0.744336	0.085483	0.518185	0.343000	0.051163	nan	nan	0.085483
3.400000	0.744407	0.085462	0.510058	0.327000	0.051163	nan	nan	0.085462
3.500000	0.744392	0.085076	0.502497	0.312000	0.051163	nan	nan	0.085076
3.600000	0.744369	0.084949	0.495456	0.298000	0.051163	nan	nan	0.084949
3.700000	0.744409	0.085087	0.488896	0.284000	0.051163	nan	nan	0.085087
3.800000	0.744195	0.084989	0.482779	0.272000	0.051163	nan	nan	0.084989
3.900000	0.744175	0.084824	0.477071	0.260000	0.051163	nan	nan	0.084824
4.000000	0.744387	0.084541	0.467839	0.249000	0.051163	nan	nan	0.084541
