alpha 	 wordsim 	 log_bias 	 isotropy 	 len_centroid* 	 lf_sp_cor 	 lb_l 	 lb_m 	 lb_h
-2.000000	0.650704	0.099977	0.470191	0.246000	0.088517	nan	nan	0.099977
-1.900000	0.655550	0.098529	0.475408	0.257000	0.088517	nan	nan	0.098529
-1.800000	0.660878	0.096949	0.476721	0.269000	0.088517	nan	nan	0.096949
-1.700000	0.666410	0.095906	0.482468	0.281000	0.088517	nan	nan	0.095906
-1.600000	0.671977	0.094406	0.488637	0.295000	0.088517	nan	nan	0.094406
-1.500000	0.677736	0.092264	0.497881	0.308000	0.088517	nan	nan	0.092264
-1.400000	0.683961	0.091022	0.502390	0.323000	0.088517	nan	nan	0.091022
-1.300000	0.688149	0.088117	0.510905	0.339000	0.088517	nan	nan	0.088117
-1.200000	0.692831	0.086847	0.519216	0.356000	0.088517	nan	nan	0.086847
-1.100000	0.697718	0.084496	0.533768	0.373000	0.088517	nan	nan	0.084496
-1.000000	0.702977	0.083681	0.543793	0.392000	0.088517	nan	nan	0.083681
-0.900000	0.708026	0.081373	0.554642	0.412000	0.088517	nan	nan	0.081373
-0.800000	0.711792	0.080483	0.566409	0.432000	0.088517	nan	nan	0.080483
-0.700000	0.716210	0.079022	0.570522	0.454000	0.088517	nan	nan	0.079022
-0.600000	0.720724	0.077794	0.584857	0.478000	0.088517	nan	nan	0.077794
-0.500000	0.723750	0.077422	0.597752	0.502000	0.088517	nan	nan	0.077422
-0.400000	0.727282	0.076628	0.623484	0.528000	0.088517	nan	nan	0.076628
-0.300000	0.729881	0.075257	0.629554	0.556000	0.088517	nan	nan	0.075257
-0.200000	0.731203	0.074788	0.648963	0.584000	0.088517	nan	nan	0.074788
-0.100000	0.732503	0.073358	0.679311	0.614000	0.088517	nan	nan	0.073358
0.000000	0.734317	0.072343	0.699916	0.645000	0.088517	nan	nan	0.072343
0.100000	0.734936	0.071708	0.724081	0.678000	0.088517	nan	nan	0.071708
0.200000	0.736235	0.071052	0.733211	0.711000	0.088517	nan	nan	0.071052
0.300000	0.736124	0.072062	0.768014	0.746000	0.088517	nan	nan	0.072062
0.400000	0.737057	0.073372	0.783001	0.782000	0.088517	nan	nan	0.073372
0.500000	0.738127	0.075741	0.831253	0.819000	0.088517	nan	nan	0.075741
0.600000	0.738993	0.077230	0.868661	0.856000	0.088517	nan	nan	0.077230
0.700000	0.741040	0.078848	0.907144	0.894000	0.088517	nan	nan	0.078848
0.800000	0.742006	0.080894	0.949337	0.931000	0.088517	nan	nan	0.080894
0.900000	0.743483	0.082315	0.967154	0.968000	0.088517	nan	nan	0.082315
1.000000	0.743261	0.083628	0.970381	0.980000	0.088517	nan	nan	0.083628
1.100000	0.742329	0.086613	0.960481	0.947000	0.088517	nan	nan	0.086613
1.200000	0.740492	0.090358	0.939879	0.910000	0.088517	nan	nan	0.090358
1.300000	0.738142	0.093196	0.869810	0.873000	0.088517	nan	nan	0.093196
1.400000	0.734174	0.094657	0.821314	0.836000	0.088517	nan	nan	0.094657
1.500000	0.727844	0.098860	0.813038	0.800000	0.088517	nan	nan	0.098860
1.600000	0.722409	0.100985	0.774181	0.764000	0.088517	nan	nan	0.100985
1.700000	0.714686	0.104951	0.757175	0.730000	0.088517	nan	nan	0.104951
1.800000	0.706622	0.108373	0.719511	0.697000	0.088517	nan	nan	0.108373
1.900000	0.697137	0.110737	0.716455	0.665000	0.088517	nan	nan	0.110737
2.000000	0.689443	0.112878	0.686245	0.634000	0.088517	nan	nan	0.112878
2.100000	0.679695	0.116919	0.668922	0.604000	0.088517	nan	nan	0.116919
2.200000	0.670910	0.119091	0.648711	0.576000	0.088517	nan	nan	0.119091
2.300000	0.659894	0.123127	0.626870	0.549000	0.088517	nan	nan	0.123127
2.400000	0.649814	0.126801	0.611345	0.523000	0.088517	nan	nan	0.126801
2.500000	0.639651	0.127847	0.601376	0.498000	0.088517	nan	nan	0.127847
2.600000	0.630155	0.130567	0.587856	0.475000	0.088517	nan	nan	0.130567
2.700000	0.620778	0.133086	0.570132	0.452000	0.088517	nan	nan	0.133086
2.800000	0.613592	0.134240	0.563874	0.431000	0.088517	nan	nan	0.134240
2.900000	0.604120	0.136469	0.548576	0.411000	0.088517	nan	nan	0.136469
3.000000	0.596711	0.136814	0.537967	0.392000	0.088517	nan	nan	0.136814
3.100000	0.588394	0.139819	0.528693	0.374000	0.088517	nan	nan	0.139819
3.200000	0.581396	0.141620	0.523296	0.357000	0.088517	nan	nan	0.141620
3.300000	0.573240	0.143998	0.515060	0.341000	0.088517	nan	nan	0.143998
3.400000	0.567080	0.146260	0.507354	0.326000	0.088517	nan	nan	0.146260
3.500000	0.562072	0.147109	0.500193	0.311000	0.088517	nan	nan	0.147109
3.600000	0.556268	0.148672	0.493519	0.298000	0.088517	nan	nan	0.148672
3.700000	0.551947	0.149155	0.487285	0.285000	0.088517	nan	nan	0.149155
3.800000	0.547235	0.149425	0.481481	0.273000	0.088517	nan	nan	0.149425
3.900000	0.543304	0.149554	0.473804	0.261000	0.088517	nan	nan	0.149554
4.000000	0.539082	0.149481	0.470811	0.250000	0.088517	nan	nan	0.149481
