log_bias_diff 	 sp_diff
0.914253	0.007289
0.593541	0.018027
0.000000	0.000000
0.814031	0.051361
1.095891	-0.029495
0.361948	-0.007565
0.459024	-0.025562
0.000236	-0.088358
0.301531	-0.021844
0.344783	-0.009126
nan	nan
nan	nan
0.307648	-0.066116
0.664122	0.004766
1.405085	-0.000656
0.907710	0.032252
0.012680	-0.026508
0.656025	-0.060158
0.087508	-0.011188
1.042239	0.054893
0.258010	-0.008452
0.590792	-0.025435
0.580030	-0.070167
0.737215	-0.098576
0.608092	-0.063316
0.934678	-0.050803
0.867915	-0.061058
1.277636	0.064309
0.878721	-0.007977
0.404861	0.072282
0.313687	-0.010816
1.598082	-0.050670
1.419169	-0.002461
0.764246	0.035294
0.750420	0.014652
0.668502	-0.031996
0.220653	0.023167
0.639232	0.000553
0.199263	0.009490
nan	nan
1.885146	0.036224
nan	nan
0.955584	-0.011005
0.842682	-0.012758
0.129765	0.008116
0.676326	0.044394
0.202647	-0.018713
0.481899	-0.050389
0.817079	-0.049704
0.878993	-0.006537
nan	nan
0.387372	0.112260
0.146742	-0.019319
1.121013	0.023324
0.052636	0.018560
0.772338	-0.032046
0.020143	-0.027296
0.516805	-0.026051
nan	nan
1.533822	-0.014447
nan	nan
0.621320	0.014945
0.902254	-0.007078
0.833525	0.023496
nan	nan
0.166368	-0.001692
0.199241	-0.046719
0.556789	0.047864
1.264244	-0.056050
0.177762	0.016131
0.122984	-0.012130
0.239194	0.022463
0.367419	0.039544
0.476115	0.020654
1.372445	0.004754
1.411704	-0.018573
0.771669	-0.026662
0.396956	0.058165
1.297373	0.039235
0.318363	-0.050717
0.839131	0.041147
0.881507	-0.041504
0.723830	-0.029292
0.237894	-0.019361
0.649138	0.013422
0.848468	-0.026076
0.059728	0.075967
0.517991	0.000707
0.290122	0.000762
0.729207	-0.001204
0.726688	-0.003648
0.151372	0.048306
0.663615	0.057667
0.609397	-0.035917
1.242505	-0.025765
0.966371	-0.009384
0.877787	0.007856
0.786914	0.017408
0.404861	-0.072282
2.015576	-0.010941
2.042503	-0.063628
2.626824	-0.037427
1.589957	-0.068737
0.697759	0.001795
0.535766	-0.018773
0.286578	0.015055
1.375964	0.039603
0.490929	0.044528
0.305476	0.001049
0.188561	-0.000374
0.352122	0.010842
1.552863	0.036750
0.830820	0.095713
0.006937	0.029585
0.285079	-0.019193
0.893457	0.023063
0.244725	0.031778
0.495151	0.060596
0.505138	0.084359
0.721133	0.020584
0.089582	0.040849
0.637799	0.088696
0.128762	0.026060
0.565862	0.020449
0.145363	-0.009158
