alpha 	 wordsim 	 log_bias 	 isotropy 	 len_centroid* 	 lf_sp_cor 	 lb_l 	 lb_m 	 lb_h
-2.000000	0.610121	0.063992	0.477531	0.261000	-0.045759	nan	nan	0.065361
-1.900000	0.610274	0.064087	0.483043	0.272000	-0.045759	nan	nan	0.065506
-1.800000	0.610991	0.064023	0.488942	0.285000	-0.045759	nan	nan	0.065441
-1.700000	0.611355	0.064026	0.495247	0.297000	-0.045759	nan	nan	0.065443
-1.600000	0.611720	0.064006	0.501995	0.311000	-0.045759	nan	nan	0.065423
-1.500000	0.611989	0.064050	0.503872	0.325000	-0.045759	nan	nan	0.065467
-1.400000	0.612374	0.064305	0.511382	0.340000	-0.045759	nan	nan	0.065828
-1.300000	0.613051	0.064821	0.519441	0.356000	-0.045759	nan	nan	0.066347
-1.200000	0.613115	0.066082	0.528095	0.373000	-0.045759	nan	nan	0.067616
-1.100000	0.613076	0.065717	0.537394	0.391000	-0.045759	nan	nan	0.067245
-1.000000	0.613927	0.065512	0.554000	0.410000	-0.045759	nan	nan	0.067037
-0.900000	0.615321	0.065506	0.565020	0.429000	-0.045759	nan	nan	0.067030
-0.800000	0.616111	0.066262	0.576862	0.450000	-0.045759	nan	nan	0.067789
-0.700000	0.616987	0.066296	0.582143	0.472000	-0.045759	nan	nan	0.067821
-0.600000	0.617340	0.067078	0.595534	0.495000	-0.045759	nan	nan	0.068610
-0.500000	0.618310	0.066795	0.617905	0.519000	-0.045759	nan	nan	0.068409
-0.400000	0.619072	0.067869	0.633642	0.544000	-0.045759	nan	nan	0.069492
-0.300000	0.619884	0.068693	0.637522	0.571000	-0.045759	nan	nan	0.070387
-0.200000	0.620904	0.067759	0.668630	0.598000	-0.045759	nan	nan	0.069468
-0.100000	0.622427	0.068412	0.688022	0.627000	-0.045759	nan	nan	0.070138
0.000000	0.623809	0.068993	0.708771	0.656000	-0.045759	nan	nan	0.070718
0.100000	0.625406	0.069588	0.712521	0.687000	-0.045759	nan	nan	0.071306
0.200000	0.626788	0.070288	0.746901	0.719000	-0.045759	nan	nan	0.072006
0.300000	0.627918	0.071642	0.760024	0.752000	-0.045759	nan	nan	0.073365
0.400000	0.629751	0.072037	0.787172	0.785000	-0.045759	nan	nan	0.073761
0.500000	0.631131	0.071452	0.804192	0.820000	-0.045759	nan	nan	0.073233
0.600000	0.632352	0.072095	0.859364	0.855000	-0.045759	nan	nan	0.073879
0.700000	0.633260	0.072377	0.912173	0.890000	-0.045759	nan	nan	0.074270
0.800000	0.633967	0.072428	0.946561	0.926000	-0.045759	nan	nan	0.074390
0.900000	0.634993	0.072477	0.971317	0.963000	-0.045759	nan	nan	0.074448
1.000000	0.636268	0.071423	0.978552	0.998000	-0.045759	nan	nan	0.073453
1.100000	0.636725	0.070695	0.967870	0.964000	-0.045759	nan	nan	0.072719
1.200000	0.637964	0.070656	0.947352	0.928000	-0.045759	nan	nan	0.072648
1.300000	0.638989	0.071221	0.894787	0.892000	-0.045759	nan	nan	0.073156
1.400000	0.639947	0.071448	0.860446	0.856000	-0.045759	nan	nan	0.073388
1.500000	0.639875	0.071761	0.841004	0.821000	-0.045759	nan	nan	0.073695
1.600000	0.640185	0.071666	0.805260	0.786000	-0.045759	nan	nan	0.073696
1.700000	0.640679	0.071781	0.755620	0.753000	-0.045759	nan	nan	0.073738
1.800000	0.641381	0.071748	0.739755	0.720000	-0.045759	nan	nan	0.073619
1.900000	0.642119	0.071424	0.722102	0.688000	-0.045759	nan	nan	0.073291
2.000000	0.642267	0.071457	0.697256	0.657000	-0.045759	nan	nan	0.073263
2.100000	0.642458	0.071168	0.677615	0.627000	-0.045759	nan	nan	0.072955
2.200000	0.642686	0.071307	0.659123	0.599000	-0.045759	nan	nan	0.073097
2.300000	0.642312	0.071673	0.651077	0.571000	-0.045759	nan	nan	0.073466
2.400000	0.642420	0.071749	0.621960	0.545000	-0.045759	nan	nan	0.073541
2.500000	0.642549	0.071964	0.606906	0.519000	-0.045759	nan	nan	0.073757
2.600000	0.642567	0.071609	0.603578	0.495000	-0.045759	nan	nan	0.073399
2.700000	0.642497	0.071880	0.589862	0.472000	-0.045759	nan	nan	0.073673
2.800000	0.642543	0.071973	0.568894	0.450000	-0.045759	nan	nan	0.073767
2.900000	0.642487	0.071974	0.557359	0.429000	-0.045759	nan	nan	0.073768
3.000000	0.642440	0.071842	0.546638	0.410000	-0.045759	nan	nan	0.073635
3.100000	0.642509	0.071878	0.543842	0.391000	-0.045759	nan	nan	0.073672
3.200000	0.642493	0.071705	0.534250	0.373000	-0.045759	nan	nan	0.073496
3.300000	0.642469	0.071531	0.525314	0.356000	-0.045759	nan	nan	0.073322
3.400000	0.642513	0.071650	0.516986	0.340000	-0.045759	nan	nan	0.073441
3.500000	0.642470	0.071483	0.509218	0.325000	-0.045759	nan	nan	0.073273
3.600000	0.642535	0.071669	0.496282	0.311000	-0.045759	nan	nan	0.073461
3.700000	0.642317	0.071455	0.489775	0.297000	-0.045759	nan	nan	0.073247
3.800000	0.642372	0.071406	0.483700	0.284000	-0.045759	nan	nan	0.073199
3.900000	0.642445	0.071596	0.478025	0.272000	-0.045759	nan	nan	0.073388
4.000000	0.642650	0.071844	0.472718	0.261000	-0.045759	nan	nan	0.073638
